text,label
افتتحت الحكومة مشروع جديد لتطوير البنية التحتية في القاهرة.,real
انخفض معدل التضخم خلال الشهر الماضي وفقاً للبنك المركزي. في تطور جديد للأحداث خبر يهز العالم,real
حقق االمنتخب الوطني فوزاً في مباراة ودية استعداداً للبطولة. وذلك وفقًا لتقارير متداولة,real
دواء جديد يجعل الإنسان يطير خلال دقائق بعد تناوله. بحسب مصادر مطلعة,fake
أعلنت جامعة القاهرة نتائج تنسيق القبول للطلاب الجدد. دون تأكيد رسمي حتى الآن خبر يهز العالم,real
حقق المنتخب الوطني فوزاً في مباراة ودية استعداداً للبطولة. في تطور جديد للأحداث,real
دواء جديد يجعل الإنسان يطير خلال دقائق بعد تناوله. وفقاً لتقارير إعلامية. وذلك وفقًا لتقارير متداولة,fake
تحويل جميع االسيارات إلى طائرة خلال عام واحد. وذلك وفقًا لتقارير متداولة,fake
ارتفاع االدولار إلى 100 جنيه خلال ساعات حسب مصادر مجهولة. من مصادر غير مؤكدة. وذلك وفقًا لتقارير متداولة,fake
افتتح رئيس الوزراء مصنع جديد للسيارات الكهربائية. تداولته مواقع التواصل الاجتماعي. كارثة غير متوقعة,real
اكتشاف مدينة تحت الأرض في الصحراء المصرية عمرها 5000 سنة بدون دليل. في تطور جديد للأحداث,fake
افتتحت الحكومة مشروع جديد لتطوير البنية التحتية في القاهرة. في تطور جديد للأحداث صدمة كبيرة للجميع,real
اكتشاف مدينة تحت الأرض في الصحراء المصرية عمرها 5000 سنة بدون دليل. صدمة كبيرة للجميع,real
وقعت مصر اتفاقية تعاون جديدة في مجال الطاقة المتجددة. حسب مصادر رسمية. دون تأكيد رسمي حتى الآن,real
تحويل جميع السيارات إلى طائرة خلال عام واحد. لن تصدق ما حدث,fake
أعلنت شركة عاالمية عن إطلاق هاتف جديد بمواصفات متطورة. في بيان رسمي اليوم. وذلك وفقًا لتقارير متداولة خبر يهز العالم,real
أعلنت وزارة الصحة عن تحديث جديد في نظام التطعيمات في مصر. في تطور جديد للأحداث لن تصدق ما حدث,real
ارتفاع الدولار إلى 100 جنيه خلال ساعات حسب مصادر مجهولة.,real
كائنات فضائية تهبط في االقاهرة وتلتقي بالحكومة سرًا. وذلك وفقًا لتقارير متداولة خبر يهز العالم,fake
أعلنت جامعة القاهرة نتائج تنسيق القبول للطلاب الجدد.,real
ارتفاع الدولار إلى 100 جنيه خلال ساعات حسب مصادر مجهولة. في بيان رسمي اليوم. بحسب مصادر مطلعة,fake
زيادة االاستثمارات الأجنبية المباشرة خلال الربع الأخير. وذلك وفقًا لتقارير متداولة كارثة غير متوقعة,real
كائنات فضائية تهبط في االقاهرة وتلتقي بالحكومة سرًا. بحسب مصادر مطلعة لن تصدق ما حدث,fake
حقق المنتخب الوطني فوزاً في مباراة ودية استعداداً للبطولة. وذلك وفقًا لتقارير متداولة خبر يهز العالم,real
افتتحت الحكومة مشروع جديد لتطوير البنية التحتية في القاهرة. حسب مصادر رسمية. بحسب مصادر مطلعة,real
دواء جديد يجعل الإنسان يطير خلال دقائق بعد تناوله. وذلك وفقًا لتقارير متداولة,fake
تحويل جميع السيارات إلى طائرة خلال عام واحد. حسب مصادر رسمية. دون تأكيد رسمي حتى الآن,fake
حقق المنتخب الوطني فوزاً في مباراة ودية استعداداً للبطولة.,fake
افتتحت الحكومة مشروع جديد لتطوير البنية التحتية في القاهرة. وذلك وفقًا لتقارير متداولة,real
ارتفاع الدولار إلى 100 جنيه خلال ساعات حسب مصادر مجهولة. في بيان رسمي اليوم. بحسب مصادر مطلعة لن تصدق ما حدث,fake
ارتفع سعر الذهب اليوم في الأسواق العالمية بنسبة طفيفة. تداولته مواقع التواصل الاجتماعي. وذلك وفقًا لتقارير متداولة,real
دواء جديد يجعل الإنسان يطير خلال دقائق بعد تناوله. وسط تفاعل واسع على مواقع التواصل,fake
دواء جديد يجعل الإنسان يطير خلال دقائق بعد تناوله. بحسب مصادر مطلعة,fake
دواء جديد يجعل الإنسان يطير خلال دقائق بعد تناوله. خبر يهز العالم,fake
نجم عالمي يعلن اعتزاله بسبب حدث غامض غير معلن. في تطور جديد للأحداث كارثة غير متوقعة,fake
أعلنت وزارة الصحة عن تحديث جديد في نظام التطعيمات في مصر. حسب مصادر رسمية. صدمة كبيرة للجميع,fake
أعلنت وزارة الصحة عن تحديث جديد في نظام التطعيمات في مصر.,fake
انقطاع الإنترنت في العالم كله بسبب هجوم غير معروف.,fake
كائنات فضائية تهبط في القاهرة وتلتقي بالحكومة سرًا. كارثة غير متوقعة,fake
افتتحت الحكومة مشروع جديد لتطوير البنية التحتية في القاهرة. بحسب مصادر مطلعة,real
ارتفع سعر الذهب اليوم في الأسواق العالمية بنسبة طفيفة. دون تأكيد رسمي حتى الآن صدمة كبيرة للجميع,real
نجم عالمي يعلن اعتزاله بسبب حدث غامض غير معلن. وذلك وفقًا لتقارير متداولة خبر يهز العالم,real
حقق المنتخب الوطني فوزاً في مباراة ودية استعداداً للبطولة. صدمة كبيرة للجميع,real
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً. وذلك وفقًا لتقارير متداولة,fake
ارتفاع الدولار إلى 100 جنيه خلال ساعات حسب مصادر مجهولة.,fake
افتتحت الحكومة مشروع جديد لتطوير البنية التحتية في القاهرة.,real
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً. بحسب مصادر مطلعة لن تصدق ما حدث,fake
أعلنت وزارة االصحة عن تحديث جديد في نظام التطعيمات في مصر. دون تأكيد رسمي حتى الآن,real
أعلنت جامعة القاهرة نتائج تنسيق القبول للطلاب الجدد. وفقاً لتقارير إعلامية. في تطور جديد للأحداث,real
حقق المنتخب الوطني فوزاً في مباراة ودية استعداداً للبطولة. وسط تفاعل واسع على مواقع التواصل كارثة غير متوقعة,real
ارتفاع الدولار إلى 100 جنيه خلال ساعات حسب مصادر مجهولة. حسب مصادر رسمية.,fake
زيادة الاستثمارات الأجنبية المباشرة خلال الربع الأخير. حسب مصادر رسمية.,real
حقق المنتخب الوطني فوزاً في مباراة ودية استعداداً للبطولة. في بيان رسمي اليوم. بحسب مصادر مطلعة,real
أعلنت شركة عالمية عن إطلاق هاتف جديد بمواصفات متطورة. وذلك وفقًا لتقارير متداولة كارثة غير متوقعة,real
اختفاء االأهرامات لمدة ساعة ثم عودتها فجأة وفق شهود عيان. في تطور جديد للأحداث لن تصدق ما حدث,fake
وقعت مصر اتفاقية تعاون جديدة في مجاال الطاقة المتجددة. دون تأكيد رسمي حتى الآن,real
افتتح رئيس الوزراء مصنع جديد للسيارات الكهربائية. وذلك وفقًا لتقارير متداولة صدمة كبيرة للجميع,real
أعلنت جامعة القاهرة نتائج تنسيق القبول للطلاب الجدد. في بيان رسمي اليوم. بحسب مصادر مطلعة صدمة كبيرة للجميع,real
إلغاء االتعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً. بحسب مصادر مطلعة,fake
حقق المنتخب الوطني فوزاً في مباراة ودية استعداداً للبطولة. في تطور جديد للأحداث,real
انقطاع الإنترنت في العالم كله بسبب هجوم غير معروف. دون تأكيد رسمي حتى الآن,fake
انخفض معدل التضخم خلال الشهر الماضي وفقاً للبنك المركزي. وذلك وفقًا لتقارير متداولة,real
انقطاع الإنترنت في العالم كله بسبب هجوم غير معروف. وسط تفاعل واسع على مواقع التواصل,fake
ارتفاع االدولار إلى 100 جنيه خلال ساعات حسب مصادر مجهولة. وفقاً لتقارير إعلامية. في تطور جديد للأحداث كارثة غير متوقعة,fake
حقق المنتخب الوطني فوزاً في مباراة ودية استعداداً للبطولة. في تطور جديد للأحداث كارثة غير متوقعة,real
وقعت مصر اتفاقية تعاون جديدة في مجال الطاقة المتجددة. وذلك وفقًا لتقارير متداولة كارثة غير متوقعة,real
زيادة الاستثمارات الأجنبية المباشرة خلال الربع الأخير. وذلك وفقًا لتقارير متداولة,fake
اختفاء االأهرامات لمدة ساعة ثم عودتها فجأة وفق شهود عيان. في بيان رسمي اليوم.,fake
انقطاع الإنترنت في العالم كله بسبب هجوم غير معروف. بحسب مصادر مطلعة صدمة كبيرة للجميع,fake
وقعت مصر اتفاقية تعاون جديدة في مجاال الطاقة المتجددة. حسب مصادر رسمية. دون تأكيد رسمي حتى الآن خبر يهز العالم,real
افتتحت الحكومة مشروع جديد لتطوير البنية التحتية في القاهرة. وسط تفاعل واسع على مواقع التواصل,real
زيادة الاستثمارات الأجنبية المباشرة خلال الربع الأخير.,fake
كائنات فضائية تهبط في االقاهرة وتلتقي بالحكومة سرًا. وذلك وفقًا لتقارير متداولة,fake
أعلنت جامعة االقاهرة نتائج تنسيق القبول للطلاب الجدد.,real
ارتفع سعر الذهب اليوم في الأسواق العالمية بنسبة طفيفة. وذلك وفقًا لتقارير متداولة,real
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً.,fake
انخفض معدل االتضخم خلال الشهر الماضي وفقاً للبنك المركزي. تداولته مواقع التواصل الاجتماعي.,real
انخفض معدل التضخم خلال الشهر الماضي وفقاً للبنك المركزي. تداولته مواقع التواصل الاجتماعي. كارثة غير متوقعة,real
كائنات فضائية تهبط في القاهرة وتلتقي بالحكومة سرًا. بحسب مصادر مطلعة,fake
تحويل جميع السيارات إلى طائرة خلال عام واحد. في تطور جديد للأحداث,fake
نجم عاالمي يعلن اعتزاله بسبب حدث غامض غير معلن.,fake
افتتح رئيس االوزراء مصنع جديد للسيارات الكهربائية. تداولته مواقع التواصل الاجتماعي. بحسب مصادر مطلعة خبر يهز العالم,real
أعلنت جامعة القاهرة نتائج تنسيق القبول للطلاب الجدد. بحسب مصادر مطلعة,real
افتتح رئيس الوزراء مصنع جديد للسيارات الكهربائية.,real
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً. بحسب مصادر مطلعة كارثة غير متوقعة,fake
نجم عالمي يعلن اعتزاله بسبب حدث غامض غير معلن. خبر يهز العالم,real
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً. من مصادر غير مؤكدة. وذلك وفقًا لتقارير متداولة,fake
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً. وسط تفاعل واسع على مواقع التواصل خبر يهز العالم,fake
أعلنت جامعة القاهرة نتائج تنسيق القبول للطلاب الجدد. بحسب مصادر مطلعة,real
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً. تداولته مواقع التواصل الاجتماعي. وسط تفاعل واسع على مواقع التواصل,fake
ارتفع سعر الذهب اليوم في الأسواق العالمية بنسبة طفيفة. وذلك وفقًا لتقارير متداولة,real
وقعت مصر اتفاقية تعاون جديدة في مجال الطاقة المتجددة. في تطور جديد للأحداث,fake
افتتحت الحكومة مشروع جديد لتطوير البنية التحتية في القاهرة. في تطور جديد للأحداث لن تصدق ما حدث,real
تحويل جميع السيارات إلى طائرة خلال عام واحد. دون تأكيد رسمي حتى الآن,fake
كائنات فضائية تهبط في القاهرة وتلتقي بالحكومة سرًا. حسب مصادر رسمية. وسط تفاعل واسع على مواقع التواصل صدمة كبيرة للجميع,fake
وقعت مصر اتفاقية تعاون جديدة في مجال الطاقة المتجددة.,real
افتتحت الحكومة مشروع جديد لتطوير البنية التحتية في القاهرة. في تطور جديد للأحداث,real
أعلنت وزارة االصحة عن تحديث جديد في نظام التطعيمات في مصر. وسط تفاعل واسع على مواقع التواصل,real
دواء جديد يجعل الإنسان يطير خلال دقائق بعد تناوله. تداولته مواقع التواصل الاجتماعي. دون تأكيد رسمي حتى الآن كارثة غير متوقعة,fake
كائنات فضائية تهبط في القاهرة وتلتقي بالحكومة سرًا. وذلك وفقًا لتقارير متداولة صدمة كبيرة للجميع,fake
انقطاع االإنترنت في العالم كله بسبب هجوم غير معروف. بحسب مصادر مطلعة,fake
وقعت مصر اتفاقية تعاون جديدة في مجال الطاقة المتجددة. في بيان رسمي اليوم.,real
أعلنت شركة عاالمية عن إطلاق هاتف جديد بمواصفات متطورة. دون تأكيد رسمي حتى الآن,real
افتتحت الحكومة مشروع جديد لتطوير البنية التحتية في القاهرة. في تطور جديد للأحداث,real
ارتفاع الدولار إلى 100 جنيه خلال ساعات حسب مصادر مجهولة. تداولته مواقع التواصل الاجتماعي. كارثة غير متوقعة,fake
العثور على علاج سحري يوقف الشيخوخة خلال أسبوع واحد.,fake
انخفض معدل التضخم خلال الشهر الماضي وفقاً للبنك المركزي. بحسب مصادر مطلعة لن تصدق ما حدث,real
دواء جديد يجعل الإنسان يطير خلال دقائق بعد تناوله. تداولته مواقع التواصل الاجتماعي. بحسب مصادر مطلعة كارثة غير متوقعة,fake
وقعت مصر اتفاقية تعاون جديدة في مجال الطاقة المتجددة. وفقاً لتقارير إعلامية. بحسب مصادر مطلعة خبر يهز العالم,real
ارتفاع االدولار إلى 100 جنيه خلال ساعات حسب مصادر مجهولة. من مصادر غير مؤكدة. وسط تفاعل واسع على مواقع التواصل,fake
دواء جديد يجعل الإنسان يطير خلال دقائق بعد تناوله. في بيان رسمي اليوم. لن تصدق ما حدث,fake
دواء جديد يجعل االإنسان يطير خلال دقائق بعد تناوله. دون تأكيد رسمي حتى الآن,fake
وقعت مصر اتفاقية تعاون جديدة في مجال الطاقة المتجددة.,real
كائنات فضائية تهبط في االقاهرة وتلتقي بالحكومة سرًا. من مصادر غير مؤكدة. دون تأكيد رسمي حتى الآن صدمة كبيرة للجميع,fake
ارتفاع االدولار إلى 100 جنيه خلال ساعات حسب مصادر مجهولة. خبر يهز العالم,fake
نجم عالمي يعلن اعتزاله بسبب حدث غامض غير معلن. خبر يهز العالم,fake
االعثور على علاج سحري يوقف الشيخوخة خلال أسبوع واحد. في بيان رسمي اليوم. بحسب مصادر مطلعة صدمة كبيرة للجميع,fake
افتتح رئيس الوزراء مصنع جديد للسيارات الكهربائية. وذلك وفقًا لتقارير متداولة لن تصدق ما حدث,real
ارتفع سعر الذهب اليوم في الأسواق العالمية بنسبة طفيفة.,real
افتتح رئيس الوزراء مصنع جديد للسيارات الكهربائية. صدمة كبيرة للجميع,real
كائنات فضائية تهبط في االقاهرة وتلتقي بالحكومة سرًا. في بيان رسمي اليوم. وذلك وفقًا لتقارير متداولة كارثة غير متوقعة,fake
أعلنت وزارة الصحة عن تحديث جديد في نظام التطعيمات في مصر. وذلك وفقًا لتقارير متداولة,real
اكتشاف مدينة تحت الأرض في الصحراء المصرية عمرها 5000 سنة بدون دليل. تداولته مواقع التواصل الاجتماعي.,fake
اكتشاف مدينة تحت االأرض في الصحراء المصرية عمرها 5000 سنة بدون دليل. وسط تفاعل واسع على مواقع التواصل صدمة كبيرة للجميع,fake
ارتفع سعر االذهب اليوم في الأسواق العالمية بنسبة طفيفة. دون تأكيد رسمي حتى الآن,real
انقطاع الإنترنت في العالم كله بسبب هجوم غير معروف. وفقاً لتقارير إعلامية. بحسب مصادر مطلعة,fake
زيادة االاستثمارات الأجنبية المباشرة خلال الربع الأخير. خبر يهز العالم,real
أعلنت وزارة الصحة عن تحديث جديد في نظام التطعيمات في مصر. بحسب مصادر مطلعة,real
وقعت مصر اتفاقية تعاون جديدة في مجال الطاقة المتجددة. حسب مصادر رسمية. وسط تفاعل واسع على مواقع التواصل لن تصدق ما حدث,real
اكتشاف مدينة تحت االأرض في الصحراء المصرية عمرها 5000 سنة بدون دليل. وسط تفاعل واسع على مواقع التواصل صدمة كبيرة للجميع,real
ارتفع سعر الذهب اليوم في الأسواق العالمية بنسبة طفيفة. من مصادر غير مؤكدة. وذلك وفقًا لتقارير متداولة,fake
اكتشاف مدينة تحت االأرض في الصحراء المصرية عمرها 5000 سنة بدون دليل. بحسب مصادر مطلعة صدمة كبيرة للجميع,fake
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً. في بيان رسمي اليوم. وسط تفاعل واسع على مواقع التواصل,fake
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً. لن تصدق ما حدث,fake
حقق المنتخب الوطني فوزاً في مباراة ودية استعداداً للبطولة.,real
أعلنت جامعة القاهرة نتائج تنسيق القبول للطلاب الجدد.,real
زيادة االاستثمارات الأجنبية المباشرة خلال الربع الأخير. حسب مصادر رسمية. بحسب مصادر مطلعة صدمة كبيرة للجميع,real
حقق المنتخب الوطني فوزاً في مباراة ودية استعداداً للبطولة. وذلك وفقًا لتقارير متداولة,real
كائنات فضائية تهبط في القاهرة وتلتقي بالحكومة سرًا. في تطور جديد للأحداث,fake
كائنات فضائية تهبط في االقاهرة وتلتقي بالحكومة سرًا. وسط تفاعل واسع على مواقع التواصل,real
أعلنت جامعة القاهرة نتائج تنسيق القبول للطلاب الجدد. حسب مصادر رسمية. كارثة غير متوقعة,real
أعلنت جامعة القاهرة نتائج تنسيق القبول للطلاب الجدد. من مصادر غير مؤكدة. وذلك وفقًا لتقارير متداولة,real
زيادة االاستثمارات الأجنبية المباشرة خلال الربع الأخير. وذلك وفقًا لتقارير متداولة,real
وقعت مصر اتفاقية تعاون جديدة في مجاال الطاقة المتجددة. وسط تفاعل واسع على مواقع التواصل,real
